Customer,Customer Number,City Code
A Superior System,10000453,1
A&B,10000456,76
A&G,10000457,2
A&R Partners,10000458,43
A1 Datacom Supply,10000461,77
a2i,10000462,44
A2Z Solutions,10000466,94
A-2-Z Solutions,10000469,75
Aadast,10000471,3
Aaron D. Meyer & Associates,10000472,95
Aaron Products,10000473,96
A-ARVIN Laser Resources,10000474,42
AA-Wizard,10000475,62
Abacus Niagara,10000478,63
Abbotsbury,10000480,97
Abbott,10000481,45
Aberdeen,10000486,4
Emergent,10011345,14
Enterprises,10011355,15
Equitable Life Assurance Society,10011360,16
Estates,10025575,81
Ethyl Corporation,10011398,94
Exchange,10025298,78
F. & R. Lazarus and Company,10011459,73
Farmland Industries,10011499,17
Farr Alpaca Company,10011521,74
Farrell Lines Company,10011546,18
FCS,10011600,19
Federal Express Corporation,10011623,20
Federal Focus,10011724,76
Federated Co-Operatives Limited,10011732,21
Felidae Enterprises,10011734,62
FenP Innovators,10011821,22
Fentek Industries,10011842,23
Fenwick & West,10011870,24
Ferrari,10011918,25
Ferst,10011923,45
FiberPlex,10011979,26
FIBERWORKS,10011981,95
Fibronics,10011997,86
FICOM,10012023,27
Fifth Generation,10012128,28
Fifth Moon,10012157,29
Filene’s,10012158,30
Filetron,10012161,31
Fill It,10012226,46
Filmotype,10012234,96
Fimetrics Systems,10012235,77
FIND/SVP,10012305,32
Finder,10012328,33
Finest Host,10012369,34
Finisar,10012399,35
Finishing,10012422,63
Fins,10012425,47
Firehole,10012514,36
FireTrans,10012600,37
Fokas,10012715,87
G.R. Barron,10012761,39
Gadzoox Microsystems,10012792,40
Gaecom,10012799,41
Gailey Enterprises,10012851,1
Gainunion,10012885,2
Galaxy Marketing Associates,10012907,3
Galaxy Systems,10012927,4
Gamacles,10013011,5
Gamma One Conversions,10013039,6
GammaGraphX (GGX),10013052,7
Gammel Group,10013061,8
Gandalf Systems,10013079,9
Ganymede,10013080,10
Garbee and Garbee,10013127,11
Garlin Imports,10013137,12
Gartner Group,10013188,64
Garza Industries,10013232,48
Gastown space,10013238,49
Gate,10013252,65
Gate9th,10013312,13
GateMaster,10013332,14
Gatierf Publications,10013341,15
GCC Technologies,10013376,16
G-Com International,10013397,38
GDC,10013426,17
GDSS,10013467,97
GE Fanuc Automation,10013472,50
Geac,10013509,51
GEAR,10013538,18
GearSource,10013572,19
Gebbie Press,10013574,20
Gehlken Enterprises,10013670,21
Gemini Controls,10013765,52
Greymac Trust Company,10013870,22
"Grove Farm Co., Inc.",10013871,23
Grumman Corporation,10013899,24
Guarantee Mutual Life Company,10014043,25
Gulf and Western Industries,10014047,98
GURUs,10014059,26
H.H. Robertson Company,10014064,27
Harbor  Group,10014238,28
Harbour and Associates,10014264,53
Harte-Hanks (formerly Locator),10014469,54
Harts Unlimited,10014471,78
Harvard Trust Company,10014495,99
Harvey,10014533,55
HarveyOpolis,10014540,29
Hauppauge Works,10014546,100
Haz-Mat D-Zines,10014739,66
HBO & Company,10014779,88
HBS,10014802,30
HCHS,10014803,56
HCS,10014804,67
Healtheon,10014810,57
Hederman Brothers,10015011,31
Hegemony,10015030,94
Hekimian Laboratories,10015253,32
Helfand Enterprises,10015267,33
Helios,10015275,58
Helius,10015325,34
Henning Industrial,10015495,59
Hercules Incorporated,10015686,35
Hershey Chocolate Corporation,10015783,89
hesketh.com,10015789,36
Hetrick Systems,10015793,95
Heurikon,10015824,60
Hewlett Packard,10015886,37
Hidden Oak,10015956,38
High  Logistics (HTL),10016045,42
High Country Access,10016047,68
KeyComm,10019388,94
Keystar  Training,10019400,56
PING,10021911,64
Ping,10021911,65
Pink Elephant,10021936,66
Pinnacle,10021962,90
Pinnacle Management Systems,10021977,56
Pinnacle Micro,10021986,57
Pinnacle Trading,10021996,91
PLAINFIELD ROOFING AND SHEET METAL,10026438,37
Puff,10025299,79
QualityLogic,10022166,38
Quallaby,10022167,39
QualServe,10022168,58
Quantex Microsystems,10022183,96
Quantum,10022201,40
Quantum 4Xyte  Architects,10022240,79
Quantum Group,10022249,67
Quantum Leap  Solutions,10022252,59
Qwest,10022423,60
R&J,10022431,92
