PID,Company Name,Order No,Item No,Customer No,Invoice No,Order Date,Invoice Date,Delivery Date,Rep ID,Sales,Cost,Margin,Quantity,Item Desc,PaymentMethod
48441,Lagozon Edutech Pvt Ltd,100012,10644,10004245,300064,06/02/18,06/04/18,05/28/2019,180,230,115,89,2,Bravo Canned Tomatos,10
43426,Lagozon Edutech Pvt Ltd,100013,10403,10007457,300011,05/20/2018,05/22/2018,05/25/2018,130,339,170,226,2,Big Time Frozen Cheese Pizza,10
43428,Lagozon Edutech Pvt Ltd,100019,10383,10019194,300017,05/21/2018,05/23/2018,05/28/2018,108,4536,567,412,8,Moms Corned Beef,1
43429,Lagozon Edutech Pvt Ltd,100022,10532,10020515,300020,05/21/2018,05/23/2018,05/26/2018,143,13376,334,140,40,Fast Sugar Cookies,10
43427,Lagozon Edutech Pvt Ltd,100027,10009,10021936,300024,05/21/2018,05/23/2018,05/26/2018,169,42,21,186,2,Washington Cranberry Juice,1
43957,Lagozon Edutech Pvt Ltd,100028,10672,10023524,300025,05/21/2018,05/23/2018,05/26/2018,103,1014,253,353,4,Gorilla Havarti Cheese,6
43959,Lagozon Edutech Pvt Ltd,100032,10690,10020393,300029,05/22/2018,05/24/2018,05/27/2018,175,489,244,362,2,Cutting Edge Foot-Long Hot Dogs,4
43956,Lagozon Edutech Pvt Ltd,100033,10806,10009639,300030,05/22/2018,05/24/2018,05/27/2018,155,276,138,67,2,Ebony Garlic,2
45181,Lagozon Edutech Pvt Ltd,100034,10171,10019909,300031,05/22/2018,05/24/2018,05/27/2018,157,29864,2489,657,12,High Top Summer Squash,2
62521,Lagozon Edutech Pvt Ltd,100043,10965,10009863,300040,05/25/2018,05/27/2018,05/30/2018,153,152,76,127,2,Just Right Beef Soup,10
62524,Lagozon Edutech Pvt Ltd,100052,10516,10025158,300162,07/13/2018,07/15/2018,12/25/2018,125,1043,261,349,4,Tell Tale Mixed Nuts,8
82500,Lagozon Edutech Pvt Ltd,100053,10573,10005376,300050,05/28/2018,05/30/2018,06/02/18,109,219,109,50,2,Shady Lake Manicotti,9
47838,Lagozon Edutech Pvt Ltd,100059,10997,10009652,300418,09/28/2018,09/30/2018,01/14/2020,132,895,224,146,4,Even Better 1% Milk,9
47837,Lagozon Edutech Pvt Ltd,100062,10882,10005376,300058,06/01/18,06/03/18,06/06/18,109,355,177,82,2,Thresher White Chocolate Bar,8
